#{"t_start": 1686865331.9888992, "env_id": null}
r,l,t
-64.94022,353,81.74426
-53.50367,355,83.182959
-32.762592,355,83.182959
-84.56224,361,85.431251
-61.920216,373,89.172217
-72.725296,375,90.401495
-50.614597,376,91.587787
-49.573513,383,93.835291
-6.2640004,357,148.095878
-34.324387,359,149.881296
-21.061792,366,152.167834
-12.515688,367,154.403354
-35.88219,358,155.723686
-14.356464,361,157.534131
-9.884204,361,158.536294
-23.532898,378,163.12132
-17.85093,346,209.657819
-15.023593,361,213.749766
-9.502579,349,214.945047
-16.086882,363,216.913602
-10.333237,356,218.18895
-13.3455105,355,219.655337
-7.278575,359,221.096737
-10.951725,351,223.827368
-13.276973,351,265.393703
-11.375492,343,268.014329
-12.854456,354,270.535894
-12.237957,350,271.840186
-20.145277,349,273.02552
-10.936413,356,275.532112
-11.908677,357,277.155489
-17.981436,367,280.889865
-8.598623,346,323.039387
-24.273851,339,324.887831
-14.857912,368,326.538214
-7.465969,351,328.981798
-6.641057,351,330.221082
-2.708251,351,332.610661
-15.483838,347,333.868948
-16.102795,349,339.027168
-26.441608,345,382.32894
-18.273941,357,384.188529
-7.676596,354,386.456038
-18.044191,349,388.605658
-12.400233,338,389.72396
-29.746439,359,391.530416
-9.021497,349,392.804702
-17.31338,359,399.775361
-3.5672786,345,431.693583
-13.586435,344,433.183944
-13.95004,341,434.685206
-4.6990385,336,435.992603
-5.41041,340,437.035538
-8.101063,342,439.073046
-2.986687,353,441.560636
-12.129725,330,444.322334
-14.551001,344,486.198725
-8.900572,355,487.15894
-16.6043,354,488.782699
-13.9938965,347,490.025003
-18.73596,346,491.09128
-14.154697,340,492.498626
-24.672071,351,497.35201
-11.419463,353,500.441703
-6.5668626,343,545.95592
-23.119827,361,550.512947
-21.035162,359,551.839412
-26.84091,359,553.230748
-18.658218,363,554.572049
-27.636515,376,558.314888
-6.6267443,355,559.679195
-20.087168,357,563.436038
-23.367397,372,615.898802
-27.78719,378,621.36704
-14.950821,379,622.753368
-17.467325,374,623.755622
-13.860244,380,624.980897
-13.9274,361,626.651286
-21.933018,381,629.266885
-10.067005,378,632.090518
-14.645161,374,670.226119
-13.383413,355,673.140773
-7.279801,372,675.854417
-11.3862295,372,676.83765
-5.217122,384,678.765095
-18.93433,388,681.849787
-16.204227,373,682.814033
-7.457384,381,686.955021
-9.944911,357,723.318201
-33.18715,364,729.841244
-15.59306,386,732.198811
-5.505341,367,733.490194
-33.602955,376,734.532537
-12.180172,376,738.784489
-8.856429,385,740.569934
-8.687576,366,742.811454
-11.901796,394,783.592599
-6.4151597,383,790.118131
-19.30316,394,792.460717
