#{"t_start": 1686283578.811586, "env_id": null}
r,l,t
-18.174795,364,40.3224
-68.782074,366,41.371754
-61.062958,366,41.371754
-46.141827,369,42.472003
-60.384285,371,43.52024
-32.11238,373,44.494459
-18.097977,373,44.494459
-38.741577,374,45.307656
-12.818652,354,72.085725
-34.492043,355,73.571112
-17.870958,362,74.541355
-3.6318386,358,75.558282
-8.184605,364,76.487969
-46.935596,375,77.89858
-0.8781754,366,78.714408
-17.283228,368,79.598043
-32.582935,362,113.125651
-1.6031141,359,115.790309
-24.460154,371,116.779532
-2.1189053,377,117.854801
-35.897766,374,118.850064
-26.552193,368,118.850064
-43.532784,384,119.876399
-3.7166038,375,120.865674
-42.87795,375,154.145238
-17.320517,357,155.140503
-15.97256,365,157.200968
-16.43199,364,158.029192
-7.3389263,364,159.070465
-35.13007,369,160.053739
-34.88205,377,160.95698
-44.717514,364,161.87524
-20.078098,352,196.323074
-25.26011,355,199.411809
-49.404957,361,200.349071
-24.167912,377,201.319303
-5.8611865,363,202.308526
-9.284617,367,202.308526
-9.535893,362,203.431792
-18.3817,371,204.803832
-0.088165164,358,236.067915
-1.7218741,349,237.462243
-2.7232635,356,239.061628
-3.5358012,361,239.932941
-2.0364087,367,241.187225
-0.79669863,366,242.127475
-0.34258348,376,242.964703
-3.743831,363,243.892938
-6.4845147,354,262.390127
-1.372854,349,263.504416
-1.693799,345,265.831942
-4.3579044,359,266.719142
-1.4279411,357,268.43953
-2.1811266,379,269.527074
-5.693756,371,270.663356
-0.14055564,374,270.663356
-4.0608854,348,289.69669
-1.392737,354,291.123044
-1.3683704,348,292.990535
-4.1384406,364,294.775952
0.04151241,354,296.423394
-1.7685646,365,297.226599
-12.314782,366,298.362908
0.033352397,366,299.392153
-0.39523157,358,315.826969
-0.53281003,379,318.482569
-2.4415002,369,319.758947
-2.3872755,356,320.642197
-0.62750816,338,321.537413
-3.7093444,354,322.959759
-1.1195141,359,323.954997
-1.7841964,371,325.887511
-1.7479961,378,344.491724
-0.9763699,359,346.11309
-0.68745893,353,347.061316
-2.2406166,375,349.388871
-1.6677029,361,349.388871
-1.1806563,374,350.240115
-1.1703942,365,351.279452
-0.7963372,360,352.97186
-1.4229131,355,370.6099
-3.3366609,356,372.312284
-2.115175,363,373.701636
-5.30613,357,375.59909
-2.5181303,362,376.707417
-0.46353927,369,377.742665
-1.2412677,363,378.636879
-0.520514,364,380.356331
-2.1500633,354,400.736984
-0.9028386,355,402.353783
-0.672602,346,404.220204
-0.114806265,369,405.272441
-3.4627688,356,406.698795
-1.3387388,366,408.259172
-2.6880744,365,409.097387
-0.18146737,361,410.629733
-1.65215,362,426.189309
-2.0016673,352,428.314904
-0.42062187,362,429.823258
-1.8542706,351,430.661448
-0.18935336,389,431.523706
-2.614666,343,432.552939
-3.9662302,354,433.94828
-0.2169682,363,435.921827
-2.0401487,366,451.647434
-1.5056031,367,453.715942
-0.3862755,353,454.722195
-7.13667,354,455.834782
-0.43018037,365,456.740986
-0.5086339,374,458.022328
-3.3501365,363,459.175659
-2.2120345,354,460.753052
-0.6308302,360,476.57169
-5.139295,353,478.336102
-0.37572533,354,479.346866
-2.2511904,347,480.199131
-0.17136319,358,481.318429
-2.232904,358,482.729799
-0.8052968,354,483.697103
-0.3339399,355,485.185794
-1.9994731,361,501.078406
-1.1537837,356,502.557739
-0.2281617,343,503.448989
-3.733226,367,504.970346
-2.394083,348,505.917571
-4.74735,348,506.919842
-2.6181748,374,507.748389
-0.41276994,339,508.847673
-2.9188256,362,526.855738
-1.4919631,358,528.265459
-2.4538307,354,534.702924
-1.3408577,371,535.538173
-3.23192,353,536.401394
-1.5312268,356,537.517659
-0.4734284,360,538.510937
-0.07474469,363,539.737242
-0.32505095,356,555.439848
-0.10148701,356,556.774215
-0.16839701,356,558.020549
-0.31769347,352,559.012904
-1.804508,365,559.895155
-0.66968966,365,560.779418
-0.22415267,367,562.144829
-0.569296,361,563.110123
-0.19695777,357,579.058784
-0.49164033,362,580.594129
-1.148371,350,581.643385
-0.1664244,361,582.534625
-0.27917936,361,583.521939
-1.880191,358,584.461164
-0.49997842,355,585.944561
-1.734212,362,586.866782
-0.25876844,347,602.074248
-0.52643555,348,603.719727
-2.3028762,351,605.197101
-3.3645952,355,606.026301
-0.3243722,349,606.865529
-0.1158538,372,608.855978
-1.7287759,366,610.056275
-0.17549427,365,610.893513
-0.64990085,354,625.317794
-0.8835493,347,627.466329
-0.24574004,356,628.542623
-0.9787542,371,629.404932
-0.3039086,362,630.426162
-2.8118072,359,632.823743
-0.25405893,369,633.655272
-1.3532416,366,634.806533
-0.536821,361,649.171839
-0.18786639,351,650.733191
-0.6116441,353,652.247639
-2.6132643,359,653.076169
-2.6710463,363,653.94639
-0.6906602,347,655.840858
-1.8846595,350,657.171546
-0.3608167,361,658.064257
0.02186684,355,676.744487
-0.72954017,352,678.106846
-0.29539275,341,679.128103
-0.14755182,355,680.436455
0.24478164,363,681.716136
-1.6793771,358,683.36851
-0.46081427,351,684.352771
-0.07122184,359,685.579061
-1.382072,356,699.274165
-0.12630597,359,700.824514
-0.7916009,355,701.637724
-0.86828744,359,703.170195
-1.0552729,361,704.477516
-0.0056063677,350,705.830871
-1.0824828,358,706.693065
-0.49185678,351,707.860371
-0.8800886,340,720.970344
-0.2658508,347,722.824776
-0.5861023,347,723.635029
-0.2072566,351,725.277426
-0.44134465,352,726.71979
-0.67028403,342,727.758131
-0.122575425,357,728.987424
-0.21693152,357,730.241759
-0.40854448,350,744.086821
-0.8338248,355,746.197311
-0.4618128,355,747.014508
-0.6010788,365,749.215043
-0.83841574,349,750.221297
-1.25619,357,751.049509
-0.33438534,351,752.417932
-0.22817123,363,754.192436
-0.6239519,352,766.796336
-0.3439062,343,768.457711
-0.19483432,358,769.799089
-1.2016027,340,771.364481
-0.7256335,345,772.401754
-0.5880361,358,773.513005
-0.3846241,360,775.266439
-0.71630776,349,776.688774
-0.2619549,356,788.831515
0.004583602,353,790.420924
-0.745688,355,791.885714
-0.51102763,336,792.914972
-1.5315186,369,794.894445
-0.6420823,352,796.397892
-1.2149214,376,797.319171
-0.23698618,346,798.262439
-0.2658397,338,815.899509
-0.09419179,357,816.712698
-0.84159124,356,819.109239
-0.40137252,355,820.084485
-0.8307406,353,822.006919
-0.36663458,343,823.072176
-1.8087492,346,824.262471
-0.30399093,356,825.25672
-0.2425366,348,837.611985
-0.5261969,348,838.423208
-0.6368462,342,840.478673
-0.53479546,356,842.087112
-0.11109284,347,843.789801
-0.8656991,358,844.735027
-0.08978946,343,845.579257
-0.0022941644,345,846.705579
-0.38899532,337,858.771302
-0.23431213,352,860.116618
-0.14363843,368,862.84626
-0.49843317,352,863.750479
0.05408872,346,865.428951
-0.39002907,351,866.236441
-0.41108203,357,867.847856
-0.09351483,368,868.759089
-0.16226141,352,880.199749
0.06339887,358,881.832144
-0.42229947,350,884.163291
-1.6309838,350,885.068521
-0.17611215,349,886.721895
-0.76972634,353,887.695155
-0.58345085,357,889.532575
0.034566674,364,890.752889
-0.35612914,362,902.167505
-0.7726471,347,903.146804
-0.12967515,349,905.704455
-0.4864588,361,907.105823
-0.630584,342,908.139056
-0.8013718,350,909.048266
-1.3781078,337,910.494921
-0.8887645,355,912.462405
-0.5973358,364,924.185089
-0.07798501,360,925.001769
-1.1355261,354,927.158268
-0.12678511,338,928.18794
-0.22726911,351,929.25258
-0.07971041,357,930.633905
-0.73627764,356,932.066298
-0.592848,344,933.464728
-0.51784617,344,950.222618
-0.43663377,349,951.160856
-0.23610143,356,953.718433
-0.059830036,354,954.59163
-0.6055301,353,955.609886
-0.57890284,364,957.442351
-0.2746017,351,958.312614
-0.1376839,344,959.463489
-0.10375833,342,971.144177
-0.28599232,355,972.646516
-0.06070071,348,974.905026
-0.7643741,351,974.905026
-0.66130537,354,976.178326
-0.3309304,336,977.718674
-0.1766203,347,977.718674
-0.9040863,346,978.521908
-0.3837071,336,990.414622
-0.19210926,354,991.234807
-0.2152434,343,993.734402
-0.12293129,350,994.815673
-0.3004951,349,996.027011
-0.2704322,345,997.501343
-0.27068263,350,998.566584
-0.21621476,357,999.614834
-0.18167432,349,1011.424603
-0.82174355,360,1012.722922
-0.64114183,350,1014.793403
-0.5033396,346,1015.675651
-0.6656158,339,1016.620865
-0.0246308,348,1018.63836
-0.4394123,360,1019.666681
-0.134653,350,1020.523901
-0.3248148,350,1032.156575
-0.0018402045,361,1033.862981
-0.6110418,338,1035.157273
-1.1627814,357,1036.657612
-0.2136897,359,1037.836905
-0.903857,345,1039.314301
